,count,mean,std,min,25%,50%,75%,max
mean radius,482.0,14.059547717842323,3.501791006384594,6.981,11.6725,13.28,15.745000000000001,28.11
mean texture,492.0,19.311829268292684,4.347768806177783,9.71,16.17,18.86,21.802500000000002,39.28
mean perimeter,513.0,92.03902534113061,24.028669160532168,43.79,75.27,86.34,104.7,188.5
mean area,403.0,661.5225806451613,356.6695341326454,143.5,428.1,556.7,796.0,2501.0
mean smoothness,384.0,0.09715625,0.01450186970929177,0.05263,0.0866875,0.09656500000000001,0.106825,0.1634
mean compactness,480.0,0.10453064583333332,0.053334662304462835,0.01938,0.06481500000000001,0.093125,0.130325,0.3454
mean concavity,439.0,0.09406254601366744,0.08330137119100378,0.0,0.03041,0.06824,0.1351,0.4268
mean concave points,382.0,0.04911533769633508,0.03844927566712547,0.0,0.0206825,0.03377,0.0741225,0.2012
mean symmetry,471.0,0.18140467091295118,0.027633360570767075,0.106,0.16194999999999998,0.1791,0.1966,0.2906
mean fractal dimension,504.0,0.06262619047619047,0.007101957600610088,0.04996,0.05753,0.0613,0.0660025,0.09744
radius error,475.0,0.4024141052631579,0.27797766938018514,0.1115,0.23365000000000002,0.3198,0.47350000000000003,2.873
texture error,434.0,1.2096921658986175,0.5475710996540636,0.3602,0.8230999999999999,1.095,1.47475,3.896
perimeter error,381.0,2.8159766404199473,1.958315733442294,0.7714,1.597,2.244,3.283,21.98
smoothness error,492.0,0.007071737804878049,0.0030406116154956097,0.001713,0.00512375,0.0063815,0.00821525,0.03113
compactness error,456.0,0.025096302631578946,0.017075350885667105,0.002252,0.013600000000000001,0.020435000000000002,0.03179,0.1064
concavity error,379.0,0.03124424538258575,0.026637070875688524,0.0,0.0152,0.02626,0.040775000000000006,0.3038
concave points error,507.0,0.011825467455621302,0.00609341280929272,0.0,0.007925499999999999,0.01091,0.01475,0.05279
symmetry error,487.0,0.020561043121149897,0.008198775799927591,0.007882,0.01519,0.01878,0.023425,0.07895
fractal dimension error,412.0,0.003859223300970874,0.0027302785431977472,0.0008948,0.00227675,0.003222,0.004571250000000001,0.02984
worst radius,475.0,16.286852631578945,4.86402859666832,7.93,13.06,14.92,18.55,36.04
worst texture,414.0,25.59905797101449,6.186595979422921,12.49,20.842499999999998,25.225,29.485,49.54
worst perimeter,460.0,107.32284782608694,33.96776618158414,54.49,84.1475,97.455,126.95,251.2
worst area,512.0,893.873828125,587.2975714533675,185.2,510.275,686.55,1141.0,4254.0
worst smoothness,468.0,0.1330652777777778,0.023000493871612664,0.07117,0.117175,0.13145,0.147125,0.2226
worst compactness,474.0,0.25674810126582276,0.1603725326419256,0.03432,0.1445,0.21184999999999998,0.3438,1.058
worst concavity,507.0,0.26793646351084816,0.20977909329824962,0.0,0.10645,0.2123,0.3841,1.252
worst concave points,495.0,0.11657921616161616,0.06642634066032846,0.0,0.06528,0.1015,0.16565,0.291
worst symmetry,410.0,0.29179707317073167,0.06632667388520504,0.1566,0.248725,0.28205,0.31975,0.6638
worst fractal dimension,470.0,0.08436317021276594,0.01868313405268686,0.05504,0.07185749999999999,0.07987,0.09217249999999999,0.2075
target,569.0,0.6274165202108963,0.48391795640316865,0.0,0.0,1.0,1.0,1.0
